,ï»¿ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Customer_rating_range,Customer_loyalty,Discount_%_range
0,1,D,Flight,4,2,177,3,low,F,44,1233,1,Rating 1 - 3,Not Loyal,(41% - 60%)
1,2,F,Flight,4,5,216,2,low,M,59,3088,1,Rating 4 - 5,Not Loyal,(41% - 60%)
2,3,A,Flight,2,2,183,4,low,M,48,3374,1,Rating 1 - 3,Not Loyal,(41% - 60%)
3,4,B,Flight,3,3,176,4,medium,M,10,1177,1,Rating 1 - 3,Not Loyal,(0% - 20%)
4,5,C,Flight,2,2,184,3,medium,F,46,2484,1,Rating 1 - 3,Not Loyal,(41% - 60%)
5,6,F,Flight,3,1,162,3,medium,F,12,1417,1,Rating 1 - 3,Not Loyal,(0% - 20%)
6,7,D,Flight,3,4,250,3,low,F,3,2371,1,Rating 4 - 5,Not Loyal,(0% - 20%)
7,8,F,Flight,4,1,233,2,low,F,48,2804,1,Rating 1 - 3,Not Loyal,(41% - 60%)
8,9,A,Flight,3,4,150,3,low,F,11,1861,1,Rating 4 - 5,Not Loyal,(0% - 20%)
9,10,B,Flight,3,2,164,3,medium,F,29,1187,1,Rating 1 - 3,Not Loyal,(21% - 40%)
10,11,C,Flight,3,4,189,2,medium,M,12,2888,1,Rating 4 - 5,Not Loyal,(0% - 20%)
11,12,F,Flight,4,5,232,3,medium,F,32,3253,1,Rating 4 - 5,Not Loyal,(21% - 40%)
12,13,D,Flight,3,5,198,3,medium,F,1,3667,1,Rating 4 - 5,Not Loyal,(0% - 20%)
13,14,F,Flight,4,4,275,3,high,M,29,2602,1,Rating 4 - 5,Not Loyal,(21% - 40%)
14,15,A,Flight,4,3,152,3,low,M,43,1009,1,Rating 1 - 3,Not Loyal,(41% - 60%)
15,16,B,Flight,4,3,227,3,low,F,45,2707,1,Rating 1 - 3,Not Loyal,(41% - 60%)
16,17,C,Flight,3,4,143,2,medium,F,6,1194,1,Rating 4 - 5,Not Loyal,(0% - 20%)
17,18,F,Ship,5,5,227,3,medium,M,36,3952,1,Rating 4 - 5,Not Loyal,(21% - 40%)
18,19,D,Ship,5,5,239,3,high,M,18,2495,1,Rating 4 - 5,Not Loyal,(0% - 20%)
19,20,F,Ship,4,5,145,3,medium,M,45,1059,1,Rating 4 - 5,Not Loyal,(41% - 60%)
20,21,A,Ship,3,3,161,2,medium,F,38,1521,1,Rating 1 - 3,Not Loyal,(21% - 40%)
21,22,B,Ship,3,1,232,4,medium,F,51,2899,1,Rating 1 - 3,Not Loyal,(41% - 60%)
22,23,C,Ship,2,5,156,2,low,M,2,1750,1,Rating 4 - 5,Not Loyal,(0% - 20%)
23,24,F,Ship,4,3,211,3,high,M,12,3922,1,Rating 1 - 3,Not Loyal,(0% - 20%)
24,25,D,Ship,4,5,251,2,medium,F,28,3561,1,Rating 4 - 5,Not Loyal,(21% - 40%)
25,26,F,Ship,3,1,225,4,low,M,29,3496,1,Rating 1 - 3,Not Loyal,(21% - 40%)
26,27,A,Ship,4,1,172,3,high,F,24,1066,1,Rating 1 - 3,Not Loyal,(21% - 40%)
27,28,B,Ship,5,1,162,3,medium,M,31,1435,1,Rating 1 - 3,Not Loyal,(21% - 40%)
28,29,C,Ship,2,3,234,4,low,M,44,3134,1,Rating 1 - 3,Not Loyal,(41% - 60%)
29,30,F,Ship,5,4,183,2,low,F,36,3819,1,Rating 4 - 5,Not Loyal,(21% - 40%)
30,31,D,Ship,3,4,266,2,medium,F,38,2741,1,Rating 4 - 5,Not Loyal,(21% - 40%)
31,32,F,Ship,5,3,257,2,low,F,61,3341,1,Rating 1 - 3,Not Loyal,(61% - 80%)
32,33,A,Ship,3,1,223,3,low,F,22,3795,1,Rating 1 - 3,Not Loyal,(21% - 40%)
33,34,B,Ship,4,2,234,3,medium,M,4,3261,1,Rating 1 - 3,Not Loyal,(0% - 20%)
